S. No.,Date,Region,Confirmed Cases,Active Cases,Cured/Discharged,Death
8382,04/04/2020,Madhya Pradesh,104,98,0,6
8383,05/04/2020,Madhya Pradesh,104,98,0,6
8384,06/04/2020,Madhya Pradesh,165,156,0,9
8385,07/04/2020,Madhya Pradesh,165,156,0,9
8386,08/04/2020,Madhya Pradesh,229,216,0,13
8387,09/04/2020,Madhya Pradesh,229,216,0,13
8388,10/04/2020,Madhya Pradesh,259,243,0,16
8389,11/04/2020,Madhya Pradesh,435,402,0,33
8390,12/04/2020,Madhya Pradesh,532,496,0,36
8391,13/04/2020,Madhya Pradesh,564,528,0,36
8392,14/04/2020,Madhya Pradesh,604,517,44,43
8393,15/04/2020,Madhya Pradesh,730,629,51,50
8394,16/04/2020,Madhya Pradesh,987,870,64,53
8395,17/04/2020,Madhya Pradesh,1120,1003,64,53
8396,18/04/2020,Madhya Pradesh,1310,1172,69,69
8397,19/04/2020,Madhya Pradesh,1407,1210,127,70
8398,20/04/2020,Madhya Pradesh,1407,1210,127,70
8399,21/04/2020,Madhya Pradesh,1485,1284,127,74
8400,22/04/2020,Madhya Pradesh,1552,1328,148,76
8401,23/04/2020,Madhya Pradesh,1592,1364,148,80
8402,24/04/2020,Madhya Pradesh,1699,1413,203,83
8403,25/04/2020,Madhya Pradesh,1852,1550,210,92
8404,26/04/2020,Madhya Pradesh,2096,1787,210,99
8405,27/04/2020,Madhya Pradesh,2096,1691,302,103
8406,28/04/2020,Madhya Pradesh,2168,1756,302,110
8407,29/04/2020,Madhya Pradesh,2387,1890,377,120
8408,30/04/2020,Madhya Pradesh,2561,1971,461,129
8409,01/05/2020,Madhya Pradesh,2660,2041,482,137
8410,02/05/2020,Madhya Pradesh,2719,2050,524,145
8411,03/05/2020,Madhya Pradesh,2846,2071,624,151
8412,04/05/2020,Madhya Pradesh,2846,1892,798,156
8413,05/05/2020,Madhya Pradesh,2942,1979,798,165
8414,06/05/2020,Madhya Pradesh,3049,1873,1000,176
8415,07/05/2020,Madhya Pradesh,3138,1854,1099,185
8416,08/05/2020,Madhya Pradesh,3252,1828,1231,193
8417,09/05/2020,Madhya Pradesh,3341,1792,1349,200
8418,10/05/2020,Madhya Pradesh,3614,1723,1676,215
8419,11/05/2020,Madhya Pradesh,3614,1723,1676,215
8420,12/05/2020,Madhya Pradesh,3785,1817,1747,221
8421,13/05/2020,Madhya Pradesh,3986,1901,1860,225
8422,14/05/2020,Madhya Pradesh,4173,1937,2004,232
8423,15/05/2020,Madhya Pradesh,4426,2018,2171,237
8424,16/05/2020,Madhya Pradesh,4595,2073,2283,239
8425,17/05/2020,Madhya Pradesh,4789,2231,2315,243
8426,18/05/2020,Madhya Pradesh,4977,2326,2403,248
8427,19/05/2020,Madhya Pradesh,5236,2549,2435,252
8428,20/05/2020,Madhya Pradesh,5465,2577,2630,258
8429,21/05/2020,Madhya Pradesh,5735,2735,2733,267
8430,22/05/2020,Madhya Pradesh,5981,2868,2843,270
8431,23/05/2020,Madhya Pradesh,6170,2809,3089,272
8432,24/05/2020,Madhya Pradesh,6371,2823,3267,281
8433,25/05/2020,Madhya Pradesh,6665,2967,3408,290
8434,26/05/2020,Madhya Pradesh,6859,2988,3571,300
8435,27/05/2020,Madhya Pradesh,7024,3030,3689,305
8436,28/05/2020,Madhya Pradesh,7261,3021,3927,313
8437,29/05/2020,Madhya Pradesh,7453,3082,4050,321
8438,30/05/2020,Madhya Pradesh,7645,3042,4269,334
8439,31/05/2020,Madhya Pradesh,7891,3104,4444,343
8440,01/06/2020,Madhya Pradesh,8089,2897,4842,350
8441,02/06/2020,Madhya Pradesh,8283,2922,5003,358
8442,03/06/2020,Madhya Pradesh,8420,2835,5221,364
8443,04/06/2020,Madhya Pradesh,8588,2772,5445,371
8444,05/06/2020,Madhya Pradesh,8762,2748,5637,377
8445,06/06/2020,Madhya Pradesh,8996,2734,5878,384
8446,07/06/2020,Madhya Pradesh,9228,2721,6108,399
8447,08/06/2020,Madhya Pradesh,9401,2658,6331,412
8448,09/06/2020,Madhya Pradesh,9638,2688,6536,414
8449,10/06/2020,Madhya Pradesh,9849,2700,6729,420
8450,11/06/2020,Madhya Pradesh,10049,2730,6892,427
8451,12/06/2020,Madhya Pradesh,10241,2768,7042,431
8452,13/06/2020,Madhya Pradesh,10443,2802,7201,440
8453,14/06/2020,Madhya Pradesh,10641,2817,7377,447
8454,15/06/2020,Madhya Pradesh,10802,2666,7677,459
8455,16/06/2020,Madhya Pradesh,10935,2567,7903,465
8456,17/06/2020,Madhya Pradesh,11083,2455,8152,476
8457,18/06/2020,Madhya Pradesh,11244,2374,8388,482
8458,19/06/2020,Madhya Pradesh,11426,2308,8632,486
8459,20/06/2020,Madhya Pradesh,11582,2339,8748,495
8460,21/06/2020,Madhya Pradesh,11724,2343,8880,501
8461,22/06/2020,Madhya Pradesh,11903,2373,9015,515
8462,23/06/2020,Madhya Pradesh,12078,2342,9215,521
8463,24/06/2020,Madhya Pradesh,12261,2401,9335,525
8464,25/06/2020,Madhya Pradesh,12448,2441,9473,534
8465,26/06/2020,Madhya Pradesh,12596,2435,9619,542
8466,27/06/2020,Madhya Pradesh,12798,2448,9804,546
8467,28/06/2020,Madhya Pradesh,12965,2444,9971,550
8468,29/06/2020,Madhya Pradesh,13186,2545,10084,557
8469,30/06/2020,Madhya Pradesh,13370,2607,10199,564
8470,01/07/2020,Madhya Pradesh,13593,2626,10395,572
8471,02/07/2020,Madhya Pradesh,13861,2625,10655,581
8472,03/07/2020,Madhya Pradesh,14106,2702,10815,589
8473,04/07/2020,Madhya Pradesh,14297,2655,11049,593
8474,05/07/2020,Madhya Pradesh,14604,2772,11234,598
8475,06/07/2020,Madhya Pradesh,14930,2911,11411,608
8476,07/07/2020,Madhya Pradesh,15284,3088,11579,617
8477,08/07/2020,Madhya Pradesh,15627,3237,11768,622
8478,09/07/2020,Madhya Pradesh,16036,3420,11987,629
8479,10/07/2020,Madhya Pradesh,16341,3475,12232,634
8480,11/07/2020,Madhya Pradesh,16657,3538,12481,638
8481,12/07/2020,Madhya Pradesh,17201,3878,12679,644
8482,13/07/2020,Madhya Pradesh,17632,4103,12876,653
8483,14/07/2020,Madhya Pradesh,18207,4336,13208,663
8484,15/07/2020,Madhya Pradesh,19005,4757,13575,673
8485,16/07/2020,Madhya Pradesh,19643,5053,13908,682
8486,17/07/2020,Madhya Pradesh,20378,5562,14127,689
8487,18/07/2020,Madhya Pradesh,21081,5870,14514,697
8488,19/07/2020,Madhya Pradesh,21763,6193,14864,706
8489,20/07/2020,Madhya Pradesh,22600,6568,15311,721
8490,21/07/2020,Madhya Pradesh,23310,6888,15684,738
8491,22/07/2020,Madhya Pradesh,24095,7082,16257,756
8492,23/07/2020,Madhya Pradesh,24842,7236,16836,770
8493,24/07/2020,Madhya Pradesh,25474,7335,17359,780
8494,25/07/2020,Madhya Pradesh,26210,7553,17866,791
8495,26/07/2020,Madhya Pradesh,26926,7639,18488,799
8496,27/07/2020,Madhya Pradesh,27800,7857,19132,811
8497,28/07/2020,Madhya Pradesh,28589,7978,19791,820
8498,29/07/2020,Madhya Pradesh,29217,8044,20343,830
8499,30/07/2020,Madhya Pradesh,30134,8357,20934,843
8500,31/07/2020,Madhya Pradesh,30968,8454,21657,857
8501,01/08/2020,Madhya Pradesh,31806,8668,22271,867
8502,02/08/2020,Madhya Pradesh,32614,8769,22969,876
8503,03/08/2020,Madhya Pradesh,33535,9099,23550,886
8504,04/08/2020,Madhya Pradesh,34285,9286,24099,900
8505,05/08/2020,Madhya Pradesh,35082,8756,25414,912
8506,06/08/2020,Madhya Pradesh,35734,8741,26064,929
8507,07/08/2020,Madhya Pradesh,36564,8716,26902,946
8508,08/08/2020,Madhya Pradesh,37298,8715,27621,962
8509,09/08/2020,Madhya Pradesh,38157,8827,28353,977
8510,10/08/2020,Madhya Pradesh,39025,9009,29020,996
8511,11/08/2020,Madhya Pradesh,39891,9202,29674,1015
8512,12/08/2020,Madhya Pradesh,40734,9105,30596,1033
8513,13/08/2020,Madhya Pradesh,41604,9317,31239,1048
8514,14/08/2020,Madhya Pradesh,42618,9718,31835,1065
8515,15/08/2020,Madhya Pradesh,43414,9928,32405,1081
8516,16/08/2020,Madhya Pradesh,44433,9986,33353,1094
8517,17/08/2020,Madhya Pradesh,45455,10312,34038,1105
8518,18/08/2020,Madhya Pradesh,46385,10232,35025,1128
8519,19/08/2020,Madhya Pradesh,47375,10521,35713,1141
8520,20/08/2020,Madhya Pradesh,48351,10717,36475,1159
8521,21/08/2020,Madhya Pradesh,49493,10782,37540,1171
8522,22/08/2020,Madhya Pradesh,50640,10928,38527,1185
8523,23/08/2020,Madhya Pradesh,51866,11261,39399,1206
8524,24/08/2020,Madhya Pradesh,53129,11510,40390,1229
8525,25/08/2020,Madhya Pradesh,54421,11944,41231,1246
8526,26/08/2020,Madhya Pradesh,55800,12225,42310,1265
8527,27/08/2020,Madhya Pradesh,56864,12336,43246,1282
8528,28/08/2020,Madhya Pradesh,58181,12422,44453,1306
8529,29/08/2020,Madhya Pradesh,59433,12714,45396,1323
8530,30/08/2020,Madhya Pradesh,60875,13117,46413,1345
8531,31/08/2020,Madhya Pradesh,62433,13592,47467,1374
8532,01/09/2020,Madhya Pradesh,63965,13914,48657,1394
8533,02/09/2020,Madhya Pradesh,65490,14072,49992,1426
8534,03/09/2020,Madhya Pradesh,66914,14337,51124,1453
8535,04/09/2020,Madhya Pradesh,68586,14888,52215,1483
8536,05/09/2020,Madhya Pradesh,70244,15474,53257,1513
8537,06/09/2020,Madhya Pradesh,71880,15688,54649,1543
8538,07/09/2020,Madhya Pradesh,73574,16115,55887,1572
8539,08/09/2020,Madhya Pradesh,75459,16961,56909,1589
8540,09/09/2020,Madhya Pradesh,77323,17205,58509,1609
8541,10/09/2020,Madhya Pradesh,79192,17702,59850,1640
8542,11/09/2020,Madhya Pradesh,81379,18433,61285,1661
8543,12/09/2020,Madhya Pradesh,83619,18992,62936,1691
8544,13/09/2020,Madhya Pradesh,85966,19840,64398,1728
8545,14/09/2020,Madhya Pradesh,88247,20487,65998,1762
8546,15/09/2020,Madhya Pradesh,90730,21228,67711,1791
8547,16/09/2020,Madhya Pradesh,93053,21620,69613,1820
8548,17/09/2020,Madhya Pradesh,95515,22136,71535,1844
8549,18/09/2020,Madhya Pradesh,97906,21631,74398,1877
8550,19/09/2020,Madhya Pradesh,100458,21605,76952,1901
8551,20/09/2020,Madhya Pradesh,103065,21964,79158,1943
8552,21/09/2020,Madhya Pradesh,105644,22300,81374,1970
8553,22/09/2020,Madhya Pradesh,108167,22542,83618,2007
8554,23/09/2020,Madhya Pradesh,110711,22646,86030,2035
8555,24/09/2020,Madhya Pradesh,113057,22812,88168,2077
8556,25/09/2020,Madhya Pradesh,115361,22744,90495,2122
8557,26/09/2020,Madhya Pradesh,117588,22198,93238,2152
8558,27/09/2020,Madhya Pradesh,119899,22228,95490,2181
8559,28/09/2020,Madhya Pradesh,122209,22431,97571,2207
8560,29/09/2020,Madhya Pradesh,124166,21912,100012,2242
8561,30/09/2020,Madhya Pradesh,126043,21317,102445,2281
8562,01/10/2020,Madhya Pradesh,128047,20997,104734,2316
8563,02/10/2020,Madhya Pradesh,130088,20473,107279,2336
8564,03/10/2020,Madhya Pradesh,132107,20124,109611,2372
8565,04/10/2020,Madhya Pradesh,133918,19807,111712,2399
8566,05/10/2020,Madhya Pradesh,135638,19372,113832,2434
8567,06/10/2020,Madhya Pradesh,137098,18757,115878,2463
8568,07/10/2020,Madhya Pradesh,138668,18141,118039,2488
8569,08/10/2020,Madhya Pradesh,140307,17522,120267,2518
8570,09/10/2020,Madhya Pradesh,142022,16788,122687,2547
8571,10/10/2020,Madhya Pradesh,143629,16168,124887,2574
8572,11/10/2020,Madhya Pradesh,145245,15612,127034,2599
8573,12/10/2020,Madhya Pradesh,146820,15177,129019,2624
8574,13/10/2020,Madhya Pradesh,148298,14932,130721,2645
8575,14/10/2020,Madhya Pradesh,149761,14661,132429,2671
8576,15/10/2020,Madhya Pradesh,155276,14432,138158,2686
8577,16/10/2020,Madhya Pradesh,156584,14157,139717,2710
8578,17/10/2020,Madhya Pradesh,157936,13928,141273,2735
8579,18/10/2020,Madhya Pradesh,159158,13698,142707,2753
8580,19/10/2020,Madhya Pradesh,160188,13281,144134,2773
8581,20/10/2020,Madhya Pradesh,161203,12996,145421,2786
8582,21/10/2020,Madhya Pradesh,162178,12507,146860,2811
8583,22/10/2020,Madhya Pradesh,163296,12386,148082,2828
8584,23/10/2020,Madhya Pradesh,164341,12146,149353,2842
8585,24/10/2020,Madhya Pradesh,165294,11761,150678,2855
8586,25/10/2020,Madhya Pradesh,166298,11477,151946,2875
8587,26/10/2020,Madhya Pradesh,167249,11237,153127,2885
8588,27/10/2020,Madhya Pradesh,167969,10857,154222,2890
8589,28/10/2020,Madhya Pradesh,168483,10353,155232,2898
8590,29/10/2020,Madhya Pradesh,169271,10094,156264,2913
8591,30/10/2020,Madhya Pradesh,169999,9689,157381,2929
8592,31/10/2020,Madhya Pradesh,170690,9294,158455,2941
8593,01/11/2020,Madhya Pradesh,171359,8929,159479,2951
8594,02/11/2020,Madhya Pradesh,172082,8538,160586,2958
8595,03/11/2020,Madhya Pradesh,172717,8298,161454,2965
8596,04/11/2020,Madhya Pradesh,173384,8044,162366,2974
8597,05/11/2020,Madhya Pradesh,174091,7854,163250,2987
8598,06/11/2020,Madhya Pradesh,174825,7766,164067,2992
8599,07/11/2020,Madhya Pradesh,175603,7676,164923,3004
8600,08/11/2020,Madhya Pradesh,176468,7736,165715,3017
8601,09/11/2020,Madhya Pradesh,177359,7928,166403,3028
8602,10/11/2020,Madhya Pradesh,178168,8050,167084,3034
8603,11/11/2020,Madhya Pradesh,179068,8149,167877,3042
8604,12/11/2020,Madhya Pradesh,179951,8328,168568,3055
8605,13/11/2020,Madhya Pradesh,180997,8672,169260,3065
8606,14/11/2020,Madhya Pradesh,182045,8876,170093,3076
8607,15/11/2020,Madhya Pradesh,183057,9005,170969,3083
8608,16/11/2020,Madhya Pradesh,183927,9146,171691,3090
8609,17/11/2020,Madhya Pradesh,184524,8996,172436,3092
8610,18/11/2020,Madhya Pradesh,185446,9060,173284,3102
8611,19/11/2020,Madhya Pradesh,186655,9338,174202,3115
8612,20/11/2020,Madhya Pradesh,188018,9800,175089,3129
8613,21/11/2020,Madhya Pradesh,189546,10402,176006,3138
8614,22/11/2020,Madhya Pradesh,191246,11192,176905,3149
8615,23/11/2020,Madhya Pradesh,193044,11765,178117,3162
8616,24/11/2020,Madhya Pradesh,194745,12336,179237,3172
8617,25/11/2020,Madhya Pradesh,196511,12979,180349,3183
8618,26/11/2020,Madhya Pradesh,198284,13742,181345,3197
8619,27/11/2020,Madhya Pradesh,199952,14199,182544,3209
8620,28/11/2020,Madhya Pradesh,201597,14677,183696,3224
8621,29/11/2020,Madhya Pradesh,203231,14981,185013,3237
8622,30/11/2020,Madhya Pradesh,204745,14974,186521,3250
8623,01/12/2020,Madhya Pradesh,206128,14771,188097,3260
8624,02/12/2020,Madhya Pradesh,207485,14435,189780,3270
8625,03/12/2020,Madhya Pradesh,208924,14019,191618,3287
8626,04/12/2020,Madhya Pradesh,210374,13887,193187,3300
8627,05/12/2020,Madhya Pradesh,211698,13641,194743,3314
8628,06/12/2020,Madhya Pradesh,213050,13532,196192,3326
8629,07/12/2020,Madhya Pradesh,214505,13391,197777,3337
8630,08/12/2020,Madhya Pradesh,215957,13443,199167,3347
8631,09/12/2020,Madhya Pradesh,217302,13280,200664,3358
8632,10/12/2020,Madhya Pradesh,218574,13221,201987,3366
8633,11/12/2020,Madhya Pradesh,219893,13226,203294,3373
8634,12/12/2020,Madhya Pradesh,221115,13092,204641,3382
8635,13/12/2020,Madhya Pradesh,222397,12947,206059,3391
8636,14/12/2020,Madhya Pradesh,223578,12837,207337,3404
8637,15/12/2020,Madhya Pradesh,224636,12803,208421,3412
8638,17/12/2020,Madhya Pradesh,226788,12330,211025,3433
8639,18/12/2020,Madhya Pradesh,227949,12156,212351,3442
8640,19/12/2020,Madhya Pradesh,229130,11876,213801,3453
8641,20/12/2020,Madhya Pradesh,230125,11446,215211,3468
8642,21/12/2020,Madhya Pradesh,231284,11318,216485,3481
8643,22/12/2020,Madhya Pradesh,232319,11054,217775,3490
8644,23/12/2020,Madhya Pradesh,233324,10994,218828,3502
8645,24/12/2020,Madhya Pradesh,234331,10766,220051,3514
8646,25/12/2020,Madhya Pradesh,235369,10676,221169,3524
8647,26/12/2020,Madhya Pradesh,236400,10461,222403,3536
8648,27/12/2020,Madhya Pradesh,237406,10329,223532,3545
8649,28/12/2020,Madhya Pradesh,238352,10097,224692,3563
8650,29/12/2020,Madhya Pradesh,239228,9874,225782,3572
8651,30/12/2020,Madhya Pradesh,240081,9595,226904,3582
8652,31/12/2020,Madhya Pradesh,240947,9387,227965,3595
8653,03/01/2021,Madhya Pradesh,243302,9089,230586,3627
8654,04/01/2021,Madhya Pradesh,244026,8852,231533,3641
8655,05/01/2021,Madhya Pradesh,244647,8609,232390,3648
8656,06/01/2021,Madhya Pradesh,245318,8427,233229,3662
8657,07/01/2021,Madhya Pradesh,246048,8516,233862,3670
8658,08/01/2021,Madhya Pradesh,246822,8528,234612,3682
8659,09/01/2021,Madhya Pradesh,247436,8324,235421,3691
8660,10/01/2021,Madhya Pradesh,247977,8029,236247,3701
8661,11/01/2021,Madhya Pradesh,248597,7823,237063,3711
8662,12/01/2021,Madhya Pradesh,249082,7651,237713,3718
8663,13/01/2021,Madhya Pradesh,249553,7499,238328,3726
8664,14/01/2021,Madhya Pradesh,250009,7294,238983,3732
8665,15/01/2021,Madhya Pradesh,250429,7108,239581,3740
8666,16/01/2021,Madhya Pradesh,250858,6957,240155,3746
8667,17/01/2021,Madhya Pradesh,251223,6524,240948,3751
8668,18/01/2021,Madhya Pradesh,251578,6399,241426,3753
8669,19/01/2021,Madhya Pradesh,251882,6160,241966,3756
8670,20/01/2021,Madhya Pradesh,252186,5732,242691,3763
8671,21/01/2021,Madhya Pradesh,252466,5008,243688,3770
8672,22/01/2021,Madhya Pradesh,252767,4599,244392,3776
8673,23/01/2021,Madhya Pradesh,253114,4479,244855,3780
8674,24/01/2021,Madhya Pradesh,253405,4310,245309,3786
8675,25/01/2021,Madhya Pradesh,253657,4171,245697,3789
8676,27/01/2021,Madhya Pradesh,254085,3219,247073,3793
8677,28/01/2021,Madhya Pradesh,254270,3053,247418,3799
8678,29/01/2021,Madhya Pradesh,254496,2955,247739,3802
8679,30/01/2021,Madhya Pradesh,254667,2826,248036,3805
8680,31/01/2021,Madhya Pradesh,254886,2760,248319,3807
8681,01/02/2021,Madhya Pradesh,255112,2665,248637,3810
8682,02/02/2021,Madhya Pradesh,255263,2554,248897,3812
8683,03/02/2021,Madhya Pradesh,255431,2423,249193,3815
8684,04/02/2021,Madhya Pradesh,255689,2430,249443,3816
8685,05/02/2021,Madhya Pradesh,255855,2331,249706,3818
8686,06/02/2021,Madhya Pradesh,256017,2193,250005,3819
8687,07/02/2021,Madhya Pradesh,256214,2074,250320,3820
8688,08/02/2021,Madhya Pradesh,256398,2041,250537,3820
8689,09/02/2021,Madhya Pradesh,256591,2041,250727,3823
8690,10/02/2021,Madhya Pradesh,256758,1987,250946,3825
8691,11/02/2021,Madhya Pradesh,256899,1951,251121,3827
8692,12/02/2021,Madhya Pradesh,257068,1920,251320,3828
8693,13/02/2021,Madhya Pradesh,257229,1862,251538,3829
8694,14/02/2021,Madhya Pradesh,257423,1829,251765,3829
8695,15/02/2021,Madhya Pradesh,257646,1842,251970,3834
8696,16/02/2021,Madhya Pradesh,257849,1847,252164,3838
8697,17/02/2021,Madhya Pradesh,258082,1856,252385,3841
8698,18/02/2021,Madhya Pradesh,258333,1863,252628,3842
8699,19/02/2021,Madhya Pradesh,258574,1909,252821,3844
8700,20/02/2021,Madhya Pradesh,258871,1954,253071,3846
8701,21/02/2021,Madhya Pradesh,259128,1994,253284,3850
8702,22/02/2021,Madhya Pradesh,259427,2051,253522,3854
8703,23/02/2021,Madhya Pradesh,259721,2104,253763,3854
8704,24/02/2021,Madhya Pradesh,259969,2151,253963,3855
8705,25/02/2021,Madhya Pradesh,260313,2270,254186,3857
8706,26/02/2021,Madhya Pradesh,260681,2435,254387,3859
8707,27/02/2021,Madhya Pradesh,261013,2518,254633,3862
8708,01/03/2021,Madhya Pradesh,261766,2785,255117,3864
8709,02/03/2021,Madhya Pradesh,262102,2901,255336,3865
8710,03/03/2021,Madhya Pradesh,262433,2973,255595,3865
8711,04/03/2021,Madhya Pradesh,262850,3097,255888,3865
8712,06/03/2021,Madhya Pradesh,263747,3457,256424,3866
8713,07/03/2021,Madhya Pradesh,264214,3527,256819,3868
8714,08/03/2021,Madhya Pradesh,264643,3606,257166,3871
8715,09/03/2021,Madhya Pradesh,265070,3638,257560,3872
8716,10/03/2021,Madhya Pradesh,265527,3711,257942,3874
8717,11/03/2021,Madhya Pradesh,266043,3915,258251,3877
8718,13/03/2021,Madhya Pradesh,267176,4335,258958,3883
8719,14/03/2021,Madhya Pradesh,267851,4512,259454,3885
8720,15/03/2021,Madhya Pradesh,268594,4740,259967,3887
8721,16/03/2021,Madhya Pradesh,269391,5024,260477,3890
8722,17/03/2021,Madhya Pradesh,270208,5286,261031,3891
8723,18/03/2021,Madhya Pradesh,271040,5616,261531,3893
8724,19/03/2021,Madhya Pradesh,271957,6032,262031,3894
8725,20/03/2021,Madhya Pradesh,273097,6609,262587,3901
8726,21/03/2021,Madhya Pradesh,274405,7344,263158,3903
8727,22/03/2021,Madhya Pradesh,275727,8000,263821,3906
8728,23/03/2021,Madhya Pradesh,277075,8592,264575,3908
8729,24/03/2021,Madhya Pradesh,278577,9292,265373,3912
8730,25/03/2021,Madhya Pradesh,280289,10047,266323,3919
8731,27/03/2021,Madhya Pradesh,284265,12038,268290,3937
8732,28/03/2021,Madhya Pradesh,286407,12995,269465,3947
8733,29/03/2021,Madhya Pradesh,288683,14185,270540,3958
8734,30/03/2021,Madhya Pradesh,291006,15150,271889,3967
8735,31/03/2021,Madhya Pradesh,293179,16034,273168,3977
8736,01/04/2021,Madhya Pradesh,295511,17096,274429,3986
8737,02/04/2021,Madhya Pradesh,298057,18057,276002,3998
8738,03/04/2021,Madhya Pradesh,300834,19336,277484,4014
8739,04/04/2021,Madhya Pradesh,303673,20369,279275,4029
8740,05/04/2021,Madhya Pradesh,306851,21335,281476,4040
8741,06/04/2021,Madhya Pradesh,310249,22654,283540,4055
8742,07/04/2021,Madhya Pradesh,313971,24155,285743,4073
8743,08/04/2021,Madhya Pradesh,318014,26059,287869,4086
8744,09/04/2021,Madhya Pradesh,322338,28060,290165,4113
8745,10/04/2021,Madhya Pradesh,327220,30486,292598,4136
8746,11/04/2021,Madhya Pradesh,332206,32707,295339,4160
8747,12/04/2021,Madhya Pradesh,338145,35316,298645,4184
8748,13/04/2021,Madhya Pradesh,344634,38651,301762,4221
8749,14/04/2021,Madhya Pradesh,353632,43539,305832,4261
8750,15/04/2021,Madhya Pradesh,363352,49551,309489,4312
8751,16/04/2021,Madhya Pradesh,373518,55694,313459,4365
8752,17/04/2021,Madhya Pradesh,384563,59183,320955,4425
8753,18/04/2021,Madhya Pradesh,395832,63889,327452,4491
8754,19/04/2021,Madhya Pradesh,408080,68576,334947,4557
8755,20/04/2021,Madhya Pradesh,420977,74558,341783,4636
8756,21/04/2021,Madhya Pradesh,433704,78271,350720,4713
8757,22/04/2021,Madhya Pradesh,446811,82268,359755,4788
8758,23/04/2021,Madhya Pradesh,459195,84957,369375,4863
8759,24/04/2021,Madhya Pradesh,472785,87640,380208,4937
8760,25/04/2021,Madhya Pradesh,485703,89363,391299,5041
8761,26/04/2021,Madhya Pradesh,499304,91548,402623,5133
8762,27/04/2021,Madhya Pradesh,511990,92534,414235,5221
8763,28/04/2021,Madhya Pradesh,525407,94276,425812,5319
8764,29/04/2021,Madhya Pradesh,538165,92773,439968,5424
8765,30/04/2021,Madhya Pradesh,550927,92077,453331,5519
8766,01/05/2021,Madhya Pradesh,563327,90796,466915,5616
8767,02/05/2021,Madhya Pradesh,575706,88511,481477,5718
8768,03/05/2021,Madhya Pradesh,588368,87189,495367,5812
8769,04/05/2021,Madhya Pradesh,600430,85750,508775,5905
8770,05/05/2021,Madhya Pradesh,612666,86639,520024,6003
8771,06/05/2021,Madhya Pradesh,624985,89244,529667,6074
8772,07/05/2021,Madhya Pradesh,637406,88614,542632,6160
8773,08/05/2021,Madhya Pradesh,649114,95423,547447,6244
8774,09/05/2021,Madhya Pradesh,660712,102486,551892,6334
8775,10/05/2021,Madhya Pradesh,671763,108913,556430,6420
8776,11/05/2021,Madhya Pradesh,681478,111223,563754,6501
8777,12/05/2021,Madhya Pradesh,691232,111366,573271,6595
8778,13/05/2021,Madhya Pradesh,700202,109928,583595,6679
8779,14/05/2021,Madhya Pradesh,700202,109928,583595,6679
8780,15/05/2021,Madhya Pradesh,708621,108116,593752,6753
8781,16/05/2021,Madhya Pradesh,724279,99970,617396,6913
8782,17/05/2021,Madhya Pradesh,731385,94652,629741,6992
8783,18/05/2021,Madhya Pradesh,737306,88983,641254,7069
8784,19/05/2021,Madhya Pradesh,742718,82967,652612,7139
8785,20/05/2021,Madhya Pradesh,747783,77607,662949,7227
8786,21/05/2021,Madhya Pradesh,752735,72725,672695,7315
8787,22/05/2021,Madhya Pradesh,757119,67625,682100,7394
8788,23/05/2021,Madhya Pradesh,760963,62053,691427,7483
8789,24/05/2021,Madhya Pradesh,764338,57766,699014,7558
8790,25/05/2021,Madhya Pradesh,767274,53653,706003,7618
8791,26/05/2021,Madhya Pradesh,769696,48634,713376,7686
8792,27/05/2021,Madhya Pradesh,771878,43265,720855,7758
8793,28/05/2021,Madhya Pradesh,773855,38327,727700,7828
8794,12/03/2020,Maharashtra,11,11,0,0
8795,13/03/2020,Maharashtra,11,11,0,0
8796,14/03/2020,Maharashtra,14,14,0,0
8797,15/03/2020,Maharashtra,31,31,0,0
8798,16/03/2020,Maharashtra,32,32,0,0
8799,17/03/2020,Maharashtra,39,38,0,1
8800,18/03/2020,Maharashtra,41,40,0,1
8801,19/03/2020,Maharashtra,45,44,0,1
8802,20/03/2020,Maharashtra,47,46,0,1
8803,21/03/2020,Maharashtra,52,51,0,1
8804,22/03/2020,Maharashtra,67,65,0,2
8805,23/03/2020,Maharashtra,74,72,0,2
8806,24/03/2020,Maharashtra,87,85,0,2
8807,25/03/2020,Maharashtra,89,87,0,2
8808,26/03/2020,Maharashtra,124,120,1,3
8809,27/03/2020,Maharashtra,130,111,15,4
8810,28/03/2020,Maharashtra,180,150,25,5
8811,29/03/2020,Maharashtra,186,155,25,6
8812,30/03/2020,Maharashtra,193,160,25,8
8813,31/03/2020,Maharashtra,216,168,39,9
8814,01/04/2020,Maharashtra,302,254,39,9
8815,02/04/2020,Maharashtra,335,280,42,13
8816,03/04/2020,Maharashtra,335,277,42,16
8817,04/04/2020,Maharashtra,423,362,42,19
8818,05/04/2020,Maharashtra,490,424,42,24
8819,06/04/2020,Maharashtra,690,603,42,45
8820,07/04/2020,Maharashtra,748,647,56,45
8821,08/04/2020,Maharashtra,1018,875,79,64
8822,09/04/2020,Maharashtra,1135,946,117,72
8823,10/04/2020,Maharashtra,1364,1142,125,97
8824,11/04/2020,Maharashtra,1574,1276,188,110
8825,12/04/2020,Maharashtra,1761,1426,208,127
8826,13/04/2020,Maharashtra,1985,1619,217,149
8827,14/04/2020,Maharashtra,2334,1957,217,160
8828,15/04/2020,Maharashtra,2687,2250,259,178
8829,16/04/2020,Maharashtra,2916,2434,295,187
8830,17/04/2020,Maharashtra,3205,2711,300,194
